question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"According to the context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.16666666666666669,0.5904410344395671,0.7010264456017631,0.5068803904851926,0.7189448137083171,0.5375670619376991
What venue did Super Bowl 50 take place in?,Levi's Stadium,"The context does not mention a specific venue where Super Bowl 50 took place. It only mentions that the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge, but it does not specify where the actual game was played.",3,0.0,0.4860388423964363,0.6644198564583308,0.5243657647664898,0.6896630551528822,0.5375670619376991
What was the theme of Super Bowl 50?,"""golden anniversary""","According to the provided context, there is no mention of a specific ""theme"" for Super Bowl 50. The text only describes the game itself, including the teams involved, the score, and the emphasis on the ""golden anniversary"" due to it being the 50th Super Bowl.",3,0.0851063829787234,0.6543368564035699,0.6905213214876165,0.5359859703927513,0.6951147054782414,0.5706324979974192
How many teams have been in the Super Bowl eight times?,four,"According to the context, four teams have made eight appearances in the Super Bowl:

1. Denver Broncos
2. Dallas Cowboys
3. Pittsburgh Steelers
4. New England Patriots",3,0.07142857142857142,0.6111648464451771,0.7176983598011955,0.4796847632768624,0.7401219149215618,0.48749135638955476
What year was the Carolina Panthers franchise founded?,1995,"There is no mention of the Carolina Panthers franchise or any sports team for that matter in the provided context. The text only discusses the history of ABC, a television network. Therefore, it is not possible to determine the founding year of the Carolina Panthers based on this information.",3,0.0,0.3767402714614609,0.6898284573160224,0.37338254697554624,0.6972391164795776,0.3967418809184974
How many appearances have the Denver Broncos made in the Super Bowl?,8,"There is no mention of the Denver Broncos or the Super Bowl in the provided context, so the answer is zero.",3,0.0,0.36983805847207124,0.7693479947167775,0.44129979252699564,0.774232027670808,0.47776215747747264
Who won the Super Bowl MVP?,Von Miller,"Based on the context provided, it appears that none of the individuals mentioned (George E., E.H., Roosevelt, and John F.) are associated with winning a Super Bowl MVP award. The names seem to be unrelated to football or the Super Bowl. Therefore, I would answer: ""No one"" won the Super Bowl MVP based on this context.",3,0.0,0.6002058769551761,0.7209267392156443,0.9520005100153317,0.7282778217005259,0.9835760606158144
Who was limited by Denver's defense?,Newton was limited by Denver's defense,"There is no mention of Denver or its defense in the provided context, so it's not possible to answer this question based on the given information. The text only talks about Montcalm and Fort William Henry, which are historical events unrelated to Denver.",3,0.04081632653061224,0.7167756990648056,0.6704954765471203,0.6771217922211172,0.675890759679175,0.6781092086614872
How many tackles did Von Miller accomlish by himself in the game?,five,"According to the context, Von Miller had ""six total tackles (five solo)"" which means he accomplished five tackles by himself.",3,0.09523809523809523,0.5406229171954976,0.726179291318037,0.4232780045492917,0.7358467522996814,0.42848136358661065
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,"According to the context, the average cost for a 30-second commercial during Super Bowl 50 was $5 million.",3,0.19999999999999998,0.5592523065757491,0.6744519369278037,0.4215202336954614,0.7004899678807958,0.4554098562794732
