question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The American Football Conference (AFC) champion Denver Broncos represented the AFCThey joined the Patriots, Dallas Cowboy, and Pittsburgh Steeler as one of four teams that have made eight appearances in the Super Bowl.",3,0.37931034482758624,0.7944379862814479,0.7235983284503594,0.7110752032044783,0.776143820686993,0.7923801593179974
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Carolina Panthers represented the NFC at Super Bowl 50.,3,0.5,0.7833938589140494,0.720553830177705,0.7034784386216186,0.7769349880553474,0.7923801593179974
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area, California.",3,0.5555555555555556,0.7619916641578796,0.7211958481344211,0.6525212011736876,0.7838853496639117,0.7423571173270795
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers to earn their third Super Bowl title.,3,0.9795918367346939,0.9648491830594309,0.728520774516184,0.7108377520791874,0.7843012033729482,0.7923801593179974
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The answer is gold. The Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themeed promotion and initiatives, including temporary suspension of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), and the use of gold-tipped logo on fields, sideline jackets, and hat branding.",3,0.625,0.8710777782037589,0.6876552658761197,0.7818857064358342,0.6907430841100162,0.9835025654562605
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""Going for the Goal.""",3,0.1492537313432836,0.6197672889572834,0.6839673966302836,0.6012838102046494,0.7127315239252714,0.655252825244353
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Niight.",3,0.16,0.4957080097517595,0.6210593803163862,0.6607940539961757,0.6308394820051654,0.7423571173270795
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The AFC stands for ""American Football Conference"" and is the abbreviation used to refer to the geographical area covered by the Annual Conference, which is roughly equivalent to a diocese in the Anglica n Communion and the Roman Catholic Church or a synod in some Lutheran denominations such as the Evangelical Lutheran Church in America.",3,0.175,0.6661602363708559,0.5390000158634302,0.5711720705617772,0.551388880186774,0.6888420273242291
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""Going for the Goal.""",3,0.1492537313432836,0.6197672889572834,0.6839673966302836,0.6012838102046494,0.7127315239252714,0.655252825244353
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","AFC stands for ""American Football Conference.""",3,0.6666666666666666,0.7684015961705646,0.5352268235011542,0.5711720705617772,0.5512907105317089,0.6888420273242291
