question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24-10, but only one other team represented the AFC at Super Bowl 50 - the Baltimore Ravens.",3,0.475,0.7572681688434257,0.6856142752887765,0.5934788006288428,0.7038016378217687,0.7834518735682293
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos represented the NFC at Super Bowl 50.,3,0.6,0.8090331882664573,0.6732549218188248,0.5806313633418493,0.6930442126691204,0.7834518735682293
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]",Super Bowl 50 took place in the San Francisco Bay Area (California) since Super Bowl XIX was held there in 1985 and Super Bowl XXXVII took place in San Diego in 2003.,3,0.2641509433962264,0.49608665535128293,0.6951475539818056,0.36500483435794523,0.7326412159695622,0.5031423578347407
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24-10 to earn their third Super Bowl title.,3,0.9411764705882353,0.969592791577032,0.7340097444319729,0.5806313633418493,0.7551737666966983,0.7834518735682293
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","Only the AFC champion team to have worn white as their designated home team in the Super Bowl, Super_Bowl_50.",3,0.13333333333333333,0.5216798939235736,0.6512726791773179,0.6730533721302913,0.6898888243878436,0.9474432199595049
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","Answer: The theme of Super Bowl 50 was ""golden anniversary"" and temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L"") to feature the Arabic numerals 50.",3,0.7142857142857143,0.9196652306208348,0.6613567463506662,0.6902388223240931,0.7208202642506338,0.9474432199595049
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question is based only on the context provided and does not require any additional information beyond what is given in the given material. The answer is ""Monday,"" as Super Bowl Opening Night was aired on Monday evening, which was moved to the Monday prime time schedule by ABC in 1970.",3,0.1111111111111111,0.4570445653051303,0.5107694845953329,0.41062472424937985,0.5180724434601269,0.45862644665526425
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: American Football Conference,3,0.8571428571428571,0.9153790080327323,0.5412699225924941,0.635112302202261,0.6042104646621759,0.7834518735682293
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","Answer: The theme of Super Bowl 50 was ""golden anniversary"" and temporarily suspended the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L"") to feature the Arabic numerals 50.",3,0.6938775510204083,0.9140135758730653,0.6613567463506662,0.6902388223240931,0.7208202642506338,0.9474432199595049
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",AFC stands for American Football Conference.,3,0.6666666666666666,0.671765569757376,0.5220905424026209,0.5380055332901618,0.5723481614988541,0.5842659816746455
