question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The Panthers made their second Super Bowl appearance in franchise history, but they did not participate in Super Bowl 50 as they were defeated by the Denver Broncos with a score of 24-10.",3,0.17241379310344826,0.8468318566175241,0.789189662324559,0.7997194307426904,0.8267145885401428,0.8172666116772433
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The Panthers made their second Super Bowl appearance in franchise history, having previously appeared in Super Bowl XXXVIII.",3,0.23255813953488372,0.8387162729989517,0.7779157131985214,0.7934722456029739,0.7992405505978538,0.8172666116772433
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in Santa Clara, California, which is located in the San Francisco Bay Area.",3,0.42857142857142855,0.8228823774193081,0.7605254087433481,0.7338845972132555,0.7765592782355916,0.782337165749603
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The Broncos won Super Bowl 50.,3,0.25806451612903225,0.8818511872740348,0.7745231057359087,0.7845080182025033,0.7825624415567008,0.8172666116772433
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The answer is gold. The logo with the letter ""L"" using the standardized logo template introduced at Super Bowl XLV features large numerals, colored in gold behind the Vince Lombardi Trophy, instead of underneath and in silver as in the standard logo.",3,0.22448979591836735,0.8205937281665895,0.7562351145142294,0.8363849470474207,0.7932556460871131,0.9539162514968743
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The question is asking for a general answer based on the given context only. The given context provides no information about the specific theme of Super Bowl 50, so the answer is ""none"".",3,0.20224719101123598,0.7272503239469854,0.746871035545608,0.7587648474759727,0.7501697773003164,0.8526143914650308
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The game was played on Christmas Day, which is the day before Thanksgiving in most of the country.",3,0.358974358974359,0.8010774246819178,0.7078466686917366,0.6982218770426348,0.7157314189939078,0.7303088948282344
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: Academic Financial Credit Scholarship (AFC),3,0.06451612903225806,0.7184007156526929,0.7482761374112398,0.6283620832306883,0.7517597464537431,0.6467945482165272
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The question does not provide a specific context for the answer to ""What was the theme of Super Bowl 50?"" Therefore, it cannot be answered based on the given context.",3,0.16279069767441862,0.7224005540511244,0.746871035545608,0.7587648474759727,0.7501697773003164,0.8526143914650308
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: Australian Federation of Clergy,3,0.0,0.6587431475466152,0.7442971606329429,0.660898206667806,0.7513324410201503,0.6788353956992136
What day was the Super Bowl played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The Super Bowl was played on May 21, 2013, at Levi's Stadium in Santa Clara, California.",3,0.5945945945945946,0.822149624769543,0.6991430973310709,0.7057647506242043,0.7108668788843772,0.7794448555326777
Who won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The Broncos took an early lead in Super Bowl 50 and never trailed, defecing the Panthers with a victory that secured their second Super Bowl appearance in franchise history. The game's final score was 24-10 in favor of the Broncos, who won the Super Bowl MVP award for Von Miller's five solo tackles, two forced fumbles, and three sacks.",3,0.16666666666666666,0.8195521521451902,0.7782130521586706,0.7711471696564384,0.7895428947509392,0.7771840660390487
What venue did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question asks for the answer to a given statement based on the context provided, which is that the NFL owners voted and awarded the game to Levi's Stadium in San Francisco Bay Area in May 2013. The venue opened in 2014 as the first Super Bowl held in California since Super Bowl XXXVII took place in San Diego in 2003.",3,0.24390243902439024,0.7584739943624954,0.7485468246935151,0.7338845972132555,0.7607890794856723,0.782337165749603
What city did Super Bowl 50 take place in?,"[""Santa Clara"", ""Santa Clara"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place in Charlotte, North Carolina, USA.",3,0.06451612903225806,0.7631152894078237,0.7542676936251564,0.7296307056986716,0.7621696015842263,0.7794448555326777
"If Roman numerals were used, what would Super Bowl 50 have been called?","[""Super Bowl L"", ""L"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The difficulty of designing an aesthetically pleasing logo with the letter ""L"" using the standardized logo template introduced at Super Bowl XLV was not mentioned in the given context. The only mention is that the NFL announced on June 4, 2014, that the practice of branding Super Bowl games with Roman numerals would be temporarily suspended for Super Bowl LI and that a primary reason for the change was the difficulty of designing an aesthetically pleasing logo with the letter ""L"" using the standardized logo template.",3,0.2676056338028169,0.8208939661856322,0.7927366272325443,0.8853627530554603,0.8002046363815718,0.9539162514968743
Super Bowl 50 decided the NFL champion for what season?,"[""2015"", ""the 2015 season"", ""Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.""]","The question is asking about the year of Super Bowl 50, which was played in 2016.",3,0.2105263157894737,0.8291359671440335,0.7618192569486425,0.7706564738167323,0.7796673010321866,0.7967405151675644
What year did the Denver Broncos secure a Super Bowl title for the third time?,"[""2015"", ""2016"", ""Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.""]","The Denver Broncos secured a Super Bowl title for the third time in their history, with the victory against the Carolina Panthers in Super Bowl 50.",3,0.20833333333333331,0.8431956366577703,0.8059999528544104,0.7395300967432114,0.8118405458464031,0.7440125077390439
What city did Super Bowl 50 take place in?,"[""Santa Clara"", ""Santa Clara"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place in Charlotte, North Carolina, on February 7, 2016, at Bank of America Stadium.",3,0.30769230769230765,0.7948889951342206,0.7542676936251564,0.7296307056986716,0.7621696015842263,0.7794448555326777
What stadium did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question asks for the answer to the given statement based on the context provided. On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014.",3,0.19047619047619047,0.7557976336206965,0.7476778155226125,0.7338845972132555,0.7578491043114153,0.782337165749603
What was the final score of Super Bowl 50? ,"[""24–10"", ""24–10"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The final score of Super Bowl 50 was Broncos 24, Panthers 10.",3,0.16216216216216217,0.8623705389193211,0.7598742650137681,0.7711471696564384,0.7677326930898435,0.7771840660390487
"What month, day and year did Super Bowl 50 take place? ","[""February 7, 2016"", ""February 7, 2016"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place on February 7, 2016, in Levi's Stadium in Santa Clara, California, with the Carolina Panthers playing against the Denver Broncos. The game was played on a Saturday, and it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985.",3,0.3287671232876712,0.7774224671810358,0.7159597179324181,0.7057647506242043,0.7425989725227256,0.7794448555326777
What year was Super Bowl 50?,"[""2015"", ""2016"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Bowl XLVIII, which took place on January 28, 2016.",3,0.19999999999999998,0.832292502704228,0.7664371614852777,0.6670141450040633,0.7861382745031528,0.6712543655771033
