question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"According to the context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.16666666666666669,0.5904410344395671,0.7007022798434935,0.5085234482369455,0.7189448137083171,0.5424962351929579
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Based on the provided context, there is no mention of where Super Bowl 50 took place. The text only mentions a replica of the Golden Gate Bridge being used for player introductions during an opening ceremony, but it does not specify the location of the actual game.",3,0.0,0.5081835284758537,0.6851199527268306,0.5957695142679142,0.6896630551528822,0.689938468570609
What was the theme of Super Bowl 50?,"""golden anniversary""","There is no mention of Super Bowl 50 or any other football game in the provided context. The text only talks about the Doctor Who theme and its various arrangements and versions over the years. Therefore, I cannot answer this question based on the provided context.",3,0.0,0.4738403717709568,0.7188912551452108,0.5040323182849115,0.7571590389413181,0.5231838708965137
How many teams have been in the Super Bowl eight times?,four,"According to the context, four teams have made eight appearances in the Super Bowl:

1. Denver Broncos
2. Dallas Cowboys
3. Pittsburgh Steelers
4. New England Patriots",3,0.07142857142857142,0.6111648464451771,0.708544127445213,0.48587913640938146,0.7401219149215618,0.4918262816064415
What year was the Carolina Panthers franchise founded?,1995,"There is no mention of the Carolina Panthers franchise in the provided context. The text only talks about Roone Arledge, ABC Sports, ABC Pictures, and other historical events unrelated to the Carolina Panthers. Therefore, it's not possible to determine the founding year of the Carolina Panthers based on this context.",3,0.0,0.37618357834797683,0.6938874054198204,0.38368429856663705,0.7155818002607329,0.40313933466514884
How many appearances have the Denver Broncos made in the Super Bowl?,8,"The text does not mention the Denver Broncos or any information related to their appearances in the Super Bowl. Therefore, I cannot answer this question based on the provided context.",3,0.0,0.3700185316839934,0.7598722847183451,0.4412473292104125,0.7629892883705943,0.4642819590729806
Who won the Super Bowl MVP?,Von Miller,"There is no mention of a Super Bowl or an MVP award in the provided context. The text only talks about awards ceremonies related to television drama series. Therefore, it's not possible to answer this question based on the given information.",3,0.0,0.5966419132486207,0.7027830475047074,0.82348519017836,0.7080887612391193,0.9594816439021566
Who was limited by Denver's defense?,Newton was limited by Denver's defense,"There is no mention of Denver or its defense in the provided context. The text only talks about historical events such as the Warsaw Ghetto Uprising, Fort William Henry, and battles involving Mongols and Tangut generals. Therefore, it is not possible to answer this question based on the provided context.",3,0.03571428571428571,0.7005295791269185,0.6903240497308207,0.701415116418012,0.6913391454660256,0.7109859347403562
How many tackles did Von Miller accomlish by himself in the game?,five,"According to the text, Von Miller had ""five solo"" tackles, which means he accomplished five tackles by himself.",3,0.10526315789473684,0.5785186154067045,0.7387954611021649,0.4094155051024357,0.7585890938615903,0.4318603731348345
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,"According to the context, the average cost for a 30-second commercial during Super Bowl 50 was $5 million.",3,0.19999999999999998,0.5592523065757491,0.725742562323736,0.4524897925588662,0.787592795743372,0.4799616524491669
Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,"According to the context, Beyoncé and Bruno Mars joined the headliner Coldplay during the Super Bowl 50 halftime show.",3,0.34782608695652173,0.6661156179133934,0.7790160284636928,0.5793161897169476,0.8096092167805462,0.5922475762974764
What was the average cost of a 30-second commercial?,$5 million,"According to the context, the average cost of a 30-second commercial during Super Bowl 50 was $5 million.",3,0.19999999999999998,0.5577115110412717,0.7030384392393243,0.4432217316256563,0.7291016542351201,0.4799616524491669
Who is the commissioner of the NFL?,Roger Goodell,"There is no mention of the NFL or its commissioner in the provided context. The text appears to be about the Victorian Parliament and the Scottish Parliament, with no reference to American football or any related topics.",3,0.0,0.6307003794345581,0.7110429346275419,0.6780629461761696,0.7154152691489283,0.7620252499573071
Who is the Commissioner of the National Football League?,Roger Goodell,"The context doesn't mention anything about the National Football League or its commissioner. It seems to be discussing meteorological and oceanographic societies, European Geosciences Union, and endorsements for the Intergovernmental Panel on Climate Change (IPCC). Therefore, I can't answer your question based on this context.",3,0.0,0.5964796502390265,0.8470531362059308,0.8344182016400344,0.8601493803713246,0.9057080506715922
In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,2012,"According to the context, Roger Goodell called Super Bowl 50 ""an important game for us as a league"" in early 2012.",3,0.0909090909090909,0.5878509136678485,0.6907122048021757,0.4953206254320806,0.7139727420990365,0.540180141035047
What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The question is based on the context provided, which only talks about Super Bowl 50. Therefore, there is no mention of a stadium in Miami or its given name. The text only mentions Levi's Stadium in Santa Clara, California, where Super Bowl 50 was played.",3,0.04166666666666667,0.6082591540066699,0.702144781085723,0.5972196217966759,0.7155990027152592,0.6404997354920857
Which Florida venue was one of three considered for Super Bowl 50?,Miami's Sun Life Stadium,"According to the context, Sun Life Stadium in Miami was one of the three sites considered for Super Bowl 50.",3,0.24999999999999997,0.5645055129988505,0.6610896471385787,0.49733374625322585,0.6684029545273353,0.5232824187810488
What was the third city that was considered?,San Francisco,There is no third city mentioned in this text. The text only mentions Warsaw and Newcastle.,3,0.0,0.6313876585906343,0.670833141868956,0.6139745874247622,0.6772312377347167,0.6482425513477312
On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013","According to the context, the Florida legislature refused to approve the funding plan to pay for the renovations on May 3, 2013.",3,0.24000000000000002,0.6334567387709815,0.6786285951365955,0.5141413327432349,0.7101644158267957,0.5526492268943834
When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,"There is no mention of the South Florida/Miami area or a Super Bowl in the provided context. The text only talks about Warsaw, Poland and Orange County/San Diego, California. Therefore, it's not possible to answer this question based on the given context.",3,0.0,0.42409675324390667,0.6980451191754731,0.46378002037352634,0.7165064719804214,0.5336403868448035
What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV,"There is no mention of Sun Life Stadium or Miami in the provided context. The text only talks about Centre for Contemporary Art, Zachęta National Gallery of Art, ABC Studios, Warsaw, and Normans. Therefore, it's not possible to answer this question based on the given context.",3,0.0,0.7156338813387373,0.6907244377200138,0.637254530470675,0.6979890036664599,0.6632854123599818
Where did the spring meetings of the NFL owners take place?,Boston,"According to the context provided, the spring meetings of the NFL owners took place in Boston.",3,0.11764705882352941,0.6078919266331951,0.6532822147577476,0.5518335323294558,0.6644164460032317,0.6075901277978414
What California city last hosted the Super Bowl?,San Diego,"There is no mention of a California city or the Super Bowl in the provided context. The text only talks about Newcastle upon Tyne, its sports teams, events, and historical figures. Therefore, I cannot answer this question based on the provided context.",3,0.0,0.5940030747892154,0.6990596023741905,0.5312548521290217,0.713845914471092,0.5376729323820905
On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013","There is no mention of Super Bowl 50 or Levi's Stadium in the provided context. The text only talks about events and people related to Britain in 1951, with no connection to American football or a specific stadium. Therefore, I cannot answer this question based on the provided context.",3,0.0,0.5538120769951622,0.7180342914231405,0.5857756066873482,0.7600289915420878,0.6361237737755043
How many teams can boast a 15–1 regular season record?,six,"According to the context, only six teams can boast a 15-1 regular season record.",3,0.13333333333333333,0.5608222066365772,0.7154933637409472,0.4426009622105365,0.7678356156221572,0.4612405283456517
