question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos joined the National Football Conference (NFCC) champion Carolina Panthers as one of four teams to make eight appearances in the Super Bowl.,3,0.6545454545454547,0.8286614522362206,0.6820062242553173,0.6005457833013307,0.7011256460931417,0.7355961981224083
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos represented the NFC at Super Bowl 50.,3,0.6,0.8090331882664573,0.6804129066063526,0.6005457833013307,0.6892221827110734,0.7355961981224083
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.6666666666666666,0.7236387789989966,0.6920719075712521,0.4559572862596713,0.7326412159695622,0.5387458791672294
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: The Denver Broncos won Super Bowl 50.,3,0.4,0.6821367529125563,0.7211144860801074,0.6005457833013307,0.7551737666966983,0.7355961981224083
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The answer is Arabic numerals (i.e., 50).",3,0.12698412698412698,0.4715700134553108,0.6222513944311424,0.6957260947039883,0.6537812237058317,0.9843818986906254
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""goaldenomicon"" with gold-themed initiatives, including temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature Arabic numerals 50.",3,0.7961165048543688,0.9009271192377557,0.6282691760501846,0.7015421647382277,0.7208202642506338,0.9843818986906254
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The Super Bowl Opening Night event held on February 1, 2016 at SA P Center in San Jose was moved to the Monday evening and re-branded as Super Bowl Opening Night.",3,0.2692307692307692,0.5412941365298694,0.48552637741381904,0.42418716018897046,0.5271385581553661,0.5791989071401984
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The AFC stands for ""American Football Conference.""",3,0.6,0.6825172830851773,0.45465903749509856,0.578777872725126,0.48980690729678567,0.6205111393274975
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The question does not require additional context to answer based on the given information. The answer is that Super Bowl 50 had a gold-themed initiative, temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could promote the Arabic numerals 50.",3,0.6551724137931035,0.9281146860315944,0.6282691760501846,0.7015421647382277,0.7208202642506338,0.9843818986906254
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: American Football Conference,3,0.8571428571428571,0.9153790080327323,0.4247220311721329,0.45122521071364696,0.4691471160288752,0.6205111393274975
