question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,retrieval_precision,context_sufficiency,hallucination_rate,question_category,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
What team lost Super Bowl XXXIII?,"[""Atlanta Falcons"", ""the Atlanta Falcons"", ""Falcons""]"," Based on the provided context, it is not explicitly stated which team lost Super Bowl XXXIII. However, the Atlanta Falcons were the opposing team to the Denver Broncos in this game, and the Broncos won 34-19. Therefore, by process of elimination, the team that lost was the Atlanta Falcons.",0,0.11538461538461538,0.7168862803506663,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What was Elway's final game as the Denver quarterback?,"[""Super Bowl XXXIII"", ""Super Bowl XXXIII"", ""Super Bowl XXXIII""]"," Based on the provided context, Elway's final game as the Denver quarterback was Super Bowl XXXIII on January 31, 1999.",0,0.2608695652173913,0.7182835376571283,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,"[""Santa Clara Marriott"", ""the San Jose Marriott"", ""Marriott""]", The text does not provide information about the name of the hotel the Panthers stayed in during Super Bowl 50.,0,0.08333333333333334,0.4358855732486924,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
In what city's Marriott did the Broncos stay?,"[""Santa Clara"", ""Santa Clara"", ""Santa Clara""]", The text does not provide information about which city's Marriott the Denver Broncos stayed in.,0,0.0,0.3833932596128242,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Where did the Broncos practice for the Super Bowl?,"[""Stanford University"", ""at Stanford University"", ""Stanford""]", The context does not provide information about where the Broncos practiced for the Super Bowl.,0,0.0,0.37341926768659783,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?","[""L"", ""L"", ""L""]"," Given that the 50th Super Bowl was Super Bowl L, if Roman numerals were used consistently as in previous years, then the 50th Super Bowl should have been named Super Bowl L. However, it's worth noting that for the 50th Super Bowl, the organizers decided to break from tradition and use Arabic numerals instead of Roman numerals, so it was officially called Super Bowl 50.",0,0.030303030303030307,0.49142078240555914,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
In what year was it declared that no Roman numerals would be used in the name of the 50th Super Bowl?,"[""2014"", ""2014"", ""2014""]"," The context does not provide information about when it was declared that no Roman numerals would be used in the naming of the 50th Super Bowl. However, the 50th Super Bowl was held on February 7, 2016, and its name was ""Super Bowl LI"" (pronounced ""Super Bowl 51""), which did not use Roman numerals for the number 50. The decision to use the Arabic numeral ""50"" instead of the Roman numeral ""L"" may have been made before or after the 2016 Super Bowl, but the context does not provide that information.",0,0.0,0.4031796106463147,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Which Super Bowl, after the 50th one, will begin have Roman numerals in the title again?","[""Super Bowl LI"", ""LI"", ""LI""]"," The next Super Bowl that will begin having Roman numerals in its title is Super Bowl LVI (Roman numeral for 56). This is because the Super Bowls from 51 to 54 used Arabic numerals instead of Roman numerals. So, after Super Bowl LV (which is Super Bowl 55), the next one with a Roman numeral will be Super Bowl LVI.",0,0.06349206349206349,0.6475199752890979,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Since this was the 50th one, what was the theme color for the Super Bowl?","[""gold"", ""gold"", ""gold""]"," The context provided does not mention the theme color for the Super Bowl. Therefore, it's impossible to determine the answer based solely on the given information.",0,0.0,0.4767203280710316,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Because of the gold theme, what was Super Bowl 50 known as?","[""Golden Super Bowl"", ""the \""Golden Super Bowl\"""", ""Golden Super Bowl""]"," Based on the provided context, Super Bowl 50 was known as the ""Super Bowl 50: Crown Jewel Event."" The gold theme is a reference to the Roman numeral for 50 (L) being represented by a golden crown in the event's branding.",0,0.13333333333333333,0.7802698590794543,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"What color were the footballs handed out to a variety of high schools, leading up to Super Bowl 50?","[""gold"", ""gold"", ""Gold""]"," Based on the provided context, no information about the color of the footballs handed out to high schools leading up to Super Bowl 50 is given.",0,0.0,0.415765558240769,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Who was the mayor of San Francisco during Super Bowl 50? ,"[""Ed Lee"", ""Ed Lee"", ""Lee""]"," Based on the provided context, there is no information about who the mayor of San Francisco was during Super Bowl 50. The context only discusses the preparations for the event and the city's efforts to showcase its diversity and technology.",0,0.0,0.40516836747972024,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"When was the opening of ""Super Bowl City""?","[""January 30"", ""January 30"", ""January 30""]"," The text provided does not contain information about the opening date of ""Super Bowl City"".",0,0.0,0.38984733589714443,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
In what venue did the NFL Experience take place?,"[""Moscone Center"", ""the Moscone Center"", ""Moscone Center""]", The text does not provide information about the specific venue where the NFL Experience took place.,0,0.10526315789473684,0.4287143407986622,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What type of rally was held?,"[""pep rally"", ""pep"", ""pep""]"," Based on the context provided, it is not explicitly stated what type of rally was held. The text mentions a rally but does not specify its nature or purpose (political, music, sports, etc.).",0,0.05714285714285715,0.6362172551278559,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?,"[""$2 million"", ""$2 million"", ""$2 million""]", The text does not provide information about how much money was spent on other festivities in the Bay area to help celebrate Super Bowl 50.,0,0.0,0.42864767123210806,0.0,False,0.0,complex,0.0,0.0,0.0,0.0
Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?,"[""city council"", ""the city council"", ""city council""]"," Based on the context provided, it is not explicitly stated who might have been called upon to fund the festival associated with the Super Bowl in Santa Clara. However, it can be inferred that potential sources of funding could include the NFL, local government, sponsors, or private investors.",0,0.0392156862745098,0.45987742027234274,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What day was Super Bowl 50 media day switched to?,"[""Monday"", ""Monday"", ""Monday""]", The context does not provide information about when Super Bowl 50 media day was switched.,0,0.0,0.407444148719222,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
In what city is SAP Center located?,"[""San Jose"", ""San Jose"", ""San Jose.""]"," Based on the provided context, the SAP Center is located in San Jose, California.",0,0.25,0.6937613199151784,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What was the name of the Media Day event for Super Bowl 50?,"[""Super Bowl Opening Night"", ""Super Bowl Opening Night"", ""Super Bowl Opening Night.""]", The context does not provide information about the name of the Media Day event for Super Bowl 50.,0,0.1818181818181818,0.5629857739259401,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
