question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos represented the American Football Conference (AFC) at Super Bowl 50.,3,0.6046511627906976,0.8268694560089676,0.7695072599481447,0.690363988507722,0.8168570431702895,0.7921331303830286
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Carolina Panthers represented the National Football Conference (NFC) at Super Bowl 50.,3,0.6046511627906976,0.7965477222289276,0.7678895519912806,0.690363988507722,0.8272943615904634,0.7921331303830286
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.6666666666666666,0.7894691477824934,0.7819872392810573,0.6690185902360497,0.830359595969434,0.7500243820929593
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Carolina Panthers defeated the National Football Conference (NFC) champion Denver Broncos to earn their third Super Bowl title in Super Bowl 50.,3,0.7547169811320756,0.9129483216255824,0.7875644350930256,0.690363988507722,0.8466336761239933,0.7921331303830286
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The context provided does not mention any specific color used to emphasize the 50th anniversary of the Super Bowl. The question is based on the given context only, and it does not provide any additional information about the color used.",3,0.1875,0.6393879933114652,0.7146077530019527,0.7423980023129041,0.7559974149143215,0.9835025654562605
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""Going for the Gold.""",3,0.1492537313432836,0.6619828638909794,0.7423010341147126,0.5868999437001307,0.8230524629462981,0.6279728955076839
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Niight.",3,0.16,0.4957080097517595,0.6227765093538947,0.6633498089181357,0.6359908691176911,0.7500243820929593
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The AFC stands for ""American Football Conference,"" which refers to the geographical area covered by the Annual Conference, as well as the frequency of meeting.",3,0.24,0.655807639020167,0.5390000158634302,0.5711720705617772,0.551388880186774,0.6888420273242291
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""Going for the Gold.""",3,0.1492537313432836,0.6619828638909794,0.7423010341147126,0.5868999437001307,0.8230524629462981,0.6279728955076839
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","AFC stands for ""American Football Conference.""",3,0.6666666666666666,0.7684015961705646,0.5352268235011542,0.5711720705617772,0.5512907105317089,0.6888420273242291
What day was the Super Bowl played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The Super Bowl was played on February 7, 2016, at Levi's Stadium in Santa Clara, California.",3,0.7567567567567567,0.9175389299029473,0.7112373954479908,0.7265914017649067,0.737762154686532,0.7500243820929593
Who won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The answer to the question is ""Denver Broncos"".",3,0.4,0.7250318506548327,0.7903849529010932,0.690363988507722,0.862764166569432,0.7921331303830286
What venue did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.6666666666666666,0.7894691477824934,0.7699399600984281,0.6690185902360497,0.7944716263242573,0.7500243820929593
What city did Super Bowl 50 take place in?,"[""Santa Clara"", ""Santa Clara"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question does not require any context to answer based on the given information. The answer is ""San Francisco Bay Area"" (the San Francisco Bay Area is where Levi's Stadium is located).",3,0.2641509433962264,0.7064289217050643,0.7795649367588501,0.6382462185506501,0.8200370807839799,0.7500243820929593
"If Roman numerals were used, what would Super Bowl 50 have been called?","[""Super Bowl L"", ""L"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The NFL announced in June 2014 that the practice of branding Super Bowl games with Roman numerals would be temporarily suspended and that the game would be named using Arabic numerals as Super Bowl 50 instead of Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI, which is the league's primary reason for the change.",3,0.29059829059829057,0.8548085366365219,0.7319917955225153,0.8519667044515834,0.7498369765945595,0.9835025654562605
