question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The American Football Conference (AFC) champion Denver Broncos joined the Patriots, Dallas Cowboy, and Pittsburgh Steeler as one of four teams that have made eight appearances in the Super Bowl.",3,0.4,0.7337198584608204,0.6820062242553173,0.6005457833013307,0.7011256460931417,0.7355961981224083
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The American Football Conference (AFC) champion Denver Broncos represented the NFC at Super Bowl 50.,3,0.6,0.8090331882664573,0.6804129066063526,0.6005457833013307,0.6892221827110734,0.7355961981224083
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.6666666666666666,0.7236387789989966,0.6920719075712521,0.4559572862596713,0.7326412159695622,0.5387458791672294
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: The Denver Broncos won Super Bowl 50.,3,0.4,0.6821367529125563,0.7211144860801074,0.6005457833013307,0.7551737666966983,0.7355961981224083
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]",The answer is Arabic numerals (50).,3,0.12903225806451613,0.4766385881039446,0.6222513944311424,0.6957260947039883,0.6537812237058317,0.9843818986906254
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The theme of Super Bowl 50 was ""Golden Anniversary"" with various gold-theme initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L"").",3,0.7422680412371134,0.8956509164547197,0.6282691760501846,0.7015421647382277,0.7208202642506338,0.9843818986906254
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]",The Super Bowl Opening Night event was moved from the Tuesday afternoon prior to the game to the Monday evening and re-branded as Super Bowl Opening Night.,3,0.125,0.4144433121253811,0.48552637741381904,0.42418716018897046,0.5271385581553661,0.5791989071401984
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The AFC stands for ""American Football Conference"".",3,0.6,0.6754799496865936,0.45465903749509856,0.578777872725126,0.48980690729678567,0.6205111393274975
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The question does not require any additional context to answer based on the given context provided. The answer is ""Super Bowl, the league emphasized the 'golden anniversary' with various gold-themed initiatives, temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as 'Super Bowl L') and featuring the Arabic numerals 50.""",3,0.7118644067796611,0.9235206795504726,0.6282691760501846,0.7015421647382277,0.7208202642506338,0.9843818986906254
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: American Football Conference,3,0.8571428571428571,0.9153790080327323,0.4247220311721329,0.45122521071364696,0.4691471160288752,0.6205111393274975
What day was the Super Bowl played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The Super Bowl played on February 7, 2016, at Levi's Stadium in Santa Clara, California.",3,0.7222222222222222,0.8351045019812758,0.6469683386173096,0.6056724594474177,0.7001890327031289,0.6990725920348252
Who won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers to earn their third Super Bowl title.,3,0.96,0.963730755983284,0.7127205338222519,0.6005457833013307,0.8272429064774242,0.7355961981224083
What venue did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The Super Bowl took place at Levi's Stadium, which opened in 2014 and is located in San Francisco Bay Area.",3,0.4390243902439024,0.7407255154942671,0.6759469525018463,0.604575962024586,0.6849113872720738,0.6990725920348252
What city did Super Bowl 50 take place in?,"[""Santa Clara"", ""Santa Clara"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question asks for the answer to the given context, ""Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""",3,0.42424242424242425,0.5366081183083783,0.693214336720807,0.4444942571583342,0.7278866566797008,0.5387458791672294
"If Roman numerals were used, what would Super Bowl 50 have been called?","[""Super Bowl L"", ""L"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]","The NFL announced that the practice of branding Super Bowl games with Roman numerals, which had been established at Super Bowl V, would be temporarily suspended for Super Bowl LI. The league's vice president of brand and creative, Jaime Weston, explained that a primary reason for the change was the difficulty of designing an aesthetically appealing logo using Roman numerals.",3,0.2758620689655172,0.6947572313683599,0.6991429575874939,0.8245437185269413,0.7319415524786013,0.9843818986906254
Super Bowl 50 decided the NFL champion for what season?,"[""2015"", ""the 2015 season"", ""Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.""]",The question asks whether Super Bowl 50 was played during the 2015 or 2016 NFL season. The answer is that it was played in the 2016 NFL season.,3,0.32,0.7602263862124063,0.6833882572118598,0.6789738713726319,0.7385243907103387,0.827775729158545
What year did the Denver Broncos secure a Super Bowl title for the third time?,"[""2015"", ""2016"", ""Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.""]","The Denver Broncos secured their third Super Bowl title for the season in which they defeated the Carolina Panthers in the NFC Championship Game, with Cam Newton being named the NFL Most Valuable Player (MVP) and Denver finishing the regular season with a 12-4 record.",3,0.208955223880597,0.4841606269986396,0.6600366597025958,0.4777224085085541,0.6688805878842327,0.5289857542506563
What city did Super Bowl 50 take place in?,"[""Santa Clara"", ""Santa Clara"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The question asks for the answer to the given context, which is Super Bowl 50 taking place in San Francisco Bay Area at Santa Clara, California.",3,0.42553191489361697,0.4944193541386968,0.693214336720807,0.4444942571583342,0.7278866566797008,0.5387458791672294
What stadium did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","The stadium that hosted Super Bowl 50 was Levi's Stadium, which opened in 2014 and is located in San Francisco Bay Area.",3,0.4186046511627907,0.6935897936876101,0.6898962019278408,0.604575962024586,0.6981227380612255,0.6990725920348252
What was the final score of Super Bowl 50? ,"[""24–10"", ""24–10"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",The final score of Super Bowl 50 was 24-10 in favor of the Denver Broncos.,3,0.15,0.666173103884624,0.6670829674313793,0.6023434915139783,0.7933504803924099,0.7355961981224083
"What month, day and year did Super Bowl 50 take place? ","[""February 7, 2016"", ""February 7, 2016"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.7906976744186046,0.7577110399561245,0.6572256693638695,0.4759208657076746,0.6957248793709707,0.5791989071401984
What year was Super Bowl 50?,"[""2015"", ""2016"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",3,0.8837209302325582,0.7901110323604902,0.6979245617191566,0.3826668000099742,0.8099525676382813,0.5387458791672294
What team was the AFC champion?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The AFC champion is the Denver Broncos, who defeated the New England Patriots 20-18 in the AFC Championship Game to advance to their second Super Bowl appearance since the franchise was founded in 1995.",3,0.3728813559322034,0.7793826066469479,0.5767238999500878,0.6322291641290193,0.5952888678675744,0.7149881627643444
What team was the NFC champion?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]","The Panthers, who finished the regular season with a 15–1 record and won the NFC Championship Game against the Arizona Cardinals in the NFL.",3,0.12244897959183673,0.6793563322479645,0.6146196857475327,0.6122976004325151,0.6253398820239853,0.7149881627643444
Who won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]",Answer: The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,3,0.9803921568627451,0.9855708789466776,0.7127205338222519,0.6005457833013307,0.8272429064774242,0.7355961981224083
