question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,retrieval_precision,context_sufficiency,hallucination_rate,question_category,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
What is the position Derek Wolfe plays currently? ,"[""Defensive ends"", ""Defensive ends"", ""Defensive ends""]"," Based on the provided context, Derek Wolfe plays as a defensive end for the Denver Broncos football team.",5,0.09999999999999999,0.6844734246268501,1.0,False,0.0,short_factual,0.5241753895490276,0.6812897387714237,0.539435650391727,0.6913626429883618
Who forced four fumbles for the Broncos in the 2015 season?,"[""Von Miller"", ""Von Miller"", ""Miller""]", Von Miller forced four fumbles for the Denver Broncos in the 2015 season.,5,0.2666666666666667,0.7005609828384833,0.8,False,0.0,short_factual,0.6748888356595526,0.5575445422542374,0.678968264361632,0.6126732102153954
How many points did the Broncos defense allow their opponents to get?,"[""296"", ""296"", ""296""]", The Broncos' defense allowed 296 points during the regular season.,5,0.18181818181818182,0.550291707517519,0.0,False,0.0,short_factual,0.778715951622873,0.38460577506014654,0.7895826988601287,0.41093235898554237
How many turnovers did the Panthers force during the NFC Championship game?,"[""seven"", ""seven"", ""seven""]"," The text does not provide information about the number of turnovers forced by the Panthers during the NFC Championship Game. However, it is mentioned that they forced seven turnovers in total during their playoff run, but the specific game where these seven turnovers occurred is not specified.",5,0.04166666666666667,0.4665324785944501,0.0,False,0.0,short_factual,0.7147747088835763,0.43458115748095655,0.7250441249120433,0.45547496681098393
How many yards did the Panthers get for the division championshipt game?,"[""487"", ""487""]"," The context does not provide specific information about the number of yards the Panthers got in the Division Championship Game. However, it is mentioned that they racked up 487 yards in the NFC Championship Game.",5,0.05555555555555556,0.4312112240481028,0.0,False,0.0,short_factual,0.7241080318582559,0.36449653732744247,0.7314494304458893,0.4007523134228427
How many times did Arizona turn the ball over in the NFC Championship?,"[""seven"", ""seven"", ""seven""]"," The context does not provide information about how many times the Arizona Cardinals turned the ball over in the NFC Championship Game. However, it is mentioned that the Panthers forced seven turnovers during this game.",5,0.05555555555555556,0.4920881987271989,0.0,False,0.0,complex,0.6361867550272969,0.45808905592318255,0.6523235734608057,0.49735419399109004
How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?,"[""17 seconds"", ""17 seconds"", ""17""]"," The question does not provide information about the exact time remaining on the clock when the Broncos made the interception that clinched the AFC Championship Game. However, it is stated that there were 17 seconds left on the clock at the time of the interception.",5,0.0851063829787234,0.6274433384647767,0.0,False,0.0,complex,0.7426552408074011,0.45647960604494664,0.7943613789089758,0.47575584241480007
What was the final score of the AFC Championship Game?,"[""20–18"", ""20–18"", ""20–18,""]"," The final score of the AFC Championship Game was 20-18, in favor of the Denver Broncos.",5,0.0,0.5892638119452556,0.4,False,0.0,short_factual,0.6725191962948588,0.494425212920262,0.7048608969979269,0.5236263025460557
Who won Super Bowl XLIX?,"[""New England Patriots"", ""New England Patriots"", ""Patriots""]"," The team that won Super Bowl XLIX is not explicitly stated in the provided context, but it can be inferred that they are the New England Patriots as they were defeated by the Denver Broncos in the AFC Championship Game to advance to the Super Bowl.",5,0.12244897959183672,0.7238149468241424,1.0,False,0.0,short_factual,0.718110774151517,0.6259529268727331,0.7383007762152137,0.6500563209538675
What injury did Thomas Davis suffer during the playoff games?,"[""broken arm"", ""a broken arm"", ""broken arm""]", Thomas Davis suffered a broken arm during the NFC Championship Game of the playoffs.,5,0.35294117647058826,0.6533430808229506,0.0,False,0.0,short_factual,0.6162835246115774,0.4040599654424149,0.632880627910863,0.408727423532406
"What injury did Thomas Davis suffer from repeatedly, for a total of three times, during his career?","[""ACL tears"", ""ACL tears"", ""ACL""]", Thomas Davis suffered from ACL (Anterior Cruciate Ligament) tears three times during his career.,5,0.25,0.6895035174031245,0.8,False,0.0,short_factual,0.551746570274758,0.5130683434788237,0.5809361198627426,0.5355096540138732
How many years had Thomas Davis played in the league when he broke his arm during the NFC Championship game?,"[""11"", ""11"", ""11""]"," Based on the context provided, Thomas Davis is an 11-year veteran. Therefore, he had played for 11 years in the league before breaking his arm during the NFC Championship game.",5,0.06451612903225806,0.4752580954979347,0.0,False,0.5,complex,0.6679851447961858,0.4106448728364132,0.703008491574971,0.4262610093070976
How old was Manning when he played Super Bowl 50?,"[""39."", ""39"", ""39"", ""39""]", Manning was 39 years old when he played Super Bowl 50.,5,0.16666666666666669,0.4736515724257559,0.0,False,0.0,short_factual,0.7120810636068637,0.37192319385455147,0.7257525859309922,0.37972546582904093
Who is the oldest quarterback to play in a Super Bowl?,"[""Peyton Manning"", ""Peyton Manning"", ""Manning"", ""Manning""]"," The oldest quarterback to play in a Super Bowl is Peyton Manning, who played at age 39.",5,0.21052631578947367,0.762010387174743,1.0,True,0.0,short_factual,0.7880770557819472,0.712993282662834,0.8311384799449812,0.7189029807591648
Who has the record of being the oldest quarter back in any Super Bowl game?,"[""Peyton Manning"", ""Peyton Manning"", ""Manning"", ""Manning""]"," The oldest quarterback to play in a Super Bowl is Peyton Manning, who played at age 39.",5,0.21052631578947367,0.762010387174743,1.0,True,0.0,short_factual,0.6913626707552899,0.6939625878443363,0.7176771474949009,0.7182223005906604
Who was the number two draft pick for 2011?,"[""Von Miller"", ""Von Miller"", ""Miller""]"," Based on the provided context, it is not explicitly stated who the number two draft pick for 2011 was. The text only mentions that Cam Newton was the first pick and Von Miller was the top pick for Denver. However, without further information, it's impossible to determine who the second pick was.",5,0.07407407407407407,0.6028997669056926,0.4,False,0.3333,short_factual,0.5711594710944743,0.5137336699033481,0.6147081065107594,0.5656366346338958
How old was Newton during Super Bowl 50?,"[""26"", ""26"", ""26""]"," Based on the provided context, it is not explicitly stated how old Cam Newton was during Super Bowl 50. However, it is mentioned that Manning became the oldest quarterback to win a Super Bowl at age 39, implying that Newton was younger than 39 during this event. Without further information, we cannot determine his exact age.",5,0.0,0.4005877718923249,0.0,False,0.3333,short_factual,0.7017343648906523,0.3970004731245984,0.7057886689523862,0.42566813832199646
When was Newton the first selection in the NFL Draft?,"[""2011"", ""2011"", ""2011""]", Newton was selected first in the 2011 NFL draft.,5,0.19999999999999998,0.5184312216913302,0.0,False,0.0,short_factual,0.6983902441618113,0.443360887736286,0.7544372893613874,0.4672991666643032
In what Super Bowl did Rivera play?,"[""Super Bowl XX"", ""Super Bowl XX"", ""XX""]", Rivera played in Super Bowl XX as a linebacker for the Chicago Bears.,5,0.375,0.7233510001554994,1.0,False,0.0,short_factual,0.6498213275626855,0.6539190933756711,0.6607156005498338,0.6785992040766174
Who was the Panthers head coach for the 2015 season?,"[""Rivera"", ""Rivera"", ""Rivera""]"," Based on the provided context, John Fox was the Carolina Panthers' head coach in their last Super Bowl appearance prior to Super Bowl 50, which was in 2015. Therefore, it can be inferred that John Fox was also the Panthers' head coach for the 2015 season.",5,0.0,0.4007904853730728,0.0,False,0.0,short_factual,0.6249923292208062,0.42400478504481554,0.6324515699619985,0.4350942838218357
