question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Which NFL team represented the AFC at Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]", The NFL team that represented the AFC at Super Bowl 50 was the Denver Broncos.,5,0.23529411764705882,0.7753395629187938,0.7136137733532759,0.7686657934570879,0.8016073182957213,0.8264151816431968
Which NFL team represented the NFC at Super Bowl 50?,"[""Carolina Panthers"", ""Carolina Panthers"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]", The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,5,0.25,0.706121294907402,0.7127276914687852,0.7686657934570879,0.8006815702923,0.8264151816431968
Where did Super Bowl 50 take place?,"[""Santa Clara, California"", ""Levi's Stadium"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]"," Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",5,0.6666666666666666,0.7898014797000595,0.6686185486300298,0.5403213969154712,0.8054644196195434,0.7276593994914727
Which NFL team won Super Bowl 50?,"[""Denver Broncos"", ""Denver Broncos"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]", The NFL team that won Super Bowl 50 was the Denver Broncos.,5,0.2857142857142857,0.794060007208978,0.704406842431956,0.7686657934570879,0.8134624845706913,0.8264151816431968
What color was used to emphasize the 50th anniversary of the Super Bowl?,"[""gold"", ""gold"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]", The color used to emphasize the 50th anniversary of the Super Bowl was gold.,5,0.2,0.7832474786929313,0.6452545377895171,0.6520433302160205,0.7180879039150782,0.8240328837211541
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]"," The theme of Super Bowl 50 was the ""golden anniversary"" as it was the 50th Super Bowl. However, the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals so that the logo could prominently feature the Arabic numerals 50.",5,0.62,0.9199813808880287,0.6590831890467659,0.6077539922724264,0.7419082870964169,0.6681275882650544
What day was the game played on?,"[""February 7, 2016"", ""February 7"", ""The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]"," The Super Bowl 50 game was played on February 7, 2016.",5,0.5,0.7191891471170081,0.5501363234412393,0.5646201154290114,0.6153709951497417,0.7276593994914727
What is the AFC short for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]"," The context provided does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for the American Football Conference.",5,0.27450980392156865,0.7544135120127463,0.4758034489141457,0.5923825186066916,0.49009945473156036,0.7243339993284489
What was the theme of Super Bowl 50?,"[""\""golden anniversary\"""", ""gold-themed"", ""As this was the 50th Super Bowl, the league emphasized the \""golden anniversary\"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as \""Super Bowl L\""), so that the logo could prominently feature the Arabic numerals 50.""]"," The theme of Super Bowl 50 was the ""golden anniversary"" as it was the 50th Super Bowl. However, unlike previous Super Bowls, it did not have a Roman numeral designation in its logo to prominently feature the Arabic numerals 50.",5,0.375,0.8736188261589839,0.6590831890467659,0.6077539922724264,0.7419082870964169,0.6681275882650544
What does AFC stand for?,"[""American Football Conference"", ""American Football Conference"", ""The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.""]"," The context provided does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for the American Football Conference.",5,0.27450980392156865,0.7544135120127463,0.47805686785872625,0.5931413539279085,0.487276449323987,0.7243339993284489
